epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9888,1.49767,2.67814,1.22499,0.00307,0.93401,0.44512,0.34954,1.0025,3.34285,0.96311,0.000653595,0.000653595,0.000653595
2,21.5213,1.14162,1.44419,1.03542,0.97953,0.88325,0.97409,0.70359,1.02454,1.2707,0.8685,0.00129412,0.00129412,0.00129412
3,29.6954,1.12856,1.21551,1.03747,0.94718,0.91023,0.92837,0.65158,1.04955,1.13395,0.92807,0.00190825,0.00190825,0.00190825
4,38.2608,1.10219,1.04188,1.0276,0.97145,0.91371,0.95109,0.67871,1.02742,1.15291,0.9484,0.0018812,0.0018812,0.0018812
5,46.9358,1.04807,0.90454,1.0161,0.94698,0.90669,0.94118,0.67215,0.98707,0.84055,0.98425,0.0018416,0.0018416,0.0018416
6,55.9214,0.99252,0.79084,0.99076,0.90325,0.96447,0.97689,0.72781,0.96917,0.68572,0.92435,0.001802,0.001802,0.001802
7,64.5224,0.95702,0.71792,0.97527,0.94885,0.89848,0.94636,0.71671,0.92771,0.67363,0.94918,0.0017624,0.0017624,0.0017624
8,73.091,0.95618,0.71375,0.99649,0.96846,0.93529,0.965,0.73205,0.93192,0.66828,0.9382,0.0017228,0.0017228,0.0017228
9,81.4058,0.92471,0.66727,0.97305,0.98773,0.91878,0.97708,0.67593,1.03236,0.63755,0.92055,0.0016832,0.0016832,0.0016832
10,89.3383,0.94267,0.65482,0.97378,0.954,0.94751,0.97247,0.74378,0.89989,0.57413,0.90213,0.0016436,0.0016436,0.0016436
11,97.8013,0.88832,0.61983,0.96304,0.91509,0.95939,0.94065,0.68936,0.90232,0.75213,0.96081,0.001604,0.001604,0.001604
12,106.398,0.87584,0.59356,0.95063,0.93038,0.94974,0.9679,0.7515,0.83674,0.61465,0.89306,0.0015644,0.0015644,0.0015644
13,114.203,0.85574,0.58287,0.94069,0.9611,0.93401,0.97846,0.77006,0.82711,0.56543,0.90199,0.0015248,0.0015248,0.0015248
14,121.998,0.84392,0.56542,0.93611,0.92695,0.94416,0.96577,0.73793,0.85821,0.61899,0.88998,0.0014852,0.0014852,0.0014852
15,129.79,0.83945,0.55764,0.93812,0.91561,0.93909,0.95692,0.73481,0.93819,0.65391,0.92158,0.0014456,0.0014456,0.0014456
16,137.497,0.82939,0.53988,0.931,0.92977,0.94082,0.96892,0.75077,0.90434,0.63654,0.90537,0.001406,0.001406,0.001406
17,145.97,0.79907,0.5365,0.92456,0.93723,0.95431,0.96176,0.77082,0.77508,0.54671,0.86639,0.0013664,0.0013664,0.0013664
18,154.783,0.80346,0.52352,0.92383,0.93528,0.95371,0.96052,0.75606,0.84783,0.55195,0.87644,0.0013268,0.0013268,0.0013268
19,163.2,0.78518,0.50743,0.92374,0.92226,0.96356,0.97153,0.78054,0.76818,0.50055,0.8621,0.0012872,0.0012872,0.0012872
20,171.502,0.77086,0.49298,0.91608,0.92609,0.95409,0.97178,0.78642,0.78184,0.53186,0.86555,0.0012476,0.0012476,0.0012476
21,179.603,0.76207,0.48983,0.916,0.9628,0.92893,0.96898,0.7755,0.78143,0.52204,0.87996,0.001208,0.001208,0.001208
22,187.293,0.75241,0.48149,0.90466,0.95029,0.92893,0.97279,0.77905,0.82241,0.51534,0.89736,0.0011684,0.0011684,0.0011684
23,195.116,0.76592,0.48956,0.91261,0.93057,0.95243,0.96545,0.776,0.76544,0.51911,0.87333,0.0011288,0.0011288,0.0011288
24,205.313,0.74811,0.4785,0.91545,0.92156,0.95415,0.95444,0.75792,0.78658,0.52119,0.87707,0.0010892,0.0010892,0.0010892
25,214.052,0.71717,0.46674,0.90407,0.9152,0.95431,0.96738,0.81568,0.75031,0.53457,0.84641,0.0010496,0.0010496,0.0010496
26,222.957,0.71755,0.46408,0.90207,0.92331,0.93401,0.96183,0.78426,0.75448,0.56419,0.87113,0.00101,0.00101,0.00101
27,231.849,0.71525,0.45616,0.90559,0.93219,0.94924,0.96484,0.78428,0.78225,0.50455,0.86135,0.0009704,0.0009704,0.0009704
28,240.761,0.71497,0.45924,0.89695,0.93108,0.93401,0.96086,0.77367,0.76499,0.56958,0.86335,0.0009308,0.0009308,0.0009308
29,250.276,0.70288,0.4531,0.89843,0.92009,0.94924,0.95513,0.78865,0.73312,0.54941,0.85489,0.0008912,0.0008912,0.0008912
30,258.684,0.6949,0.44191,0.88408,0.9242,0.95939,0.9725,0.81052,0.71018,0.47384,0.8526,0.0008516,0.0008516,0.0008516
31,267.136,0.68144,0.43006,0.88937,0.93207,0.94924,0.96041,0.81298,0.71694,0.51028,0.85815,0.000812,0.000812,0.000812
32,275.418,0.68669,0.43459,0.88903,0.93081,0.95607,0.9756,0.8009,0.71243,0.48417,0.85562,0.0007724,0.0007724,0.0007724
33,283.579,0.67605,0.42525,0.8819,0.92893,0.95431,0.97937,0.81458,0.72436,0.47225,0.8375,0.0007328,0.0007328,0.0007328
34,291.332,0.6693,0.43618,0.88627,0.93412,0.96447,0.95391,0.7888,0.68455,0.49401,0.84319,0.0006932,0.0006932,0.0006932
35,299.063,0.65726,0.42731,0.88489,0.93783,0.96447,0.97219,0.79562,0.74902,0.5078,0.85863,0.0006536,0.0006536,0.0006536
36,307.327,0.66865,0.43097,0.88925,0.93526,0.95335,0.96593,0.79005,0.75018,0.53811,0.87001,0.000614,0.000614,0.000614
37,315.236,0.64124,0.41178,0.88266,0.92809,0.95431,0.97078,0.81281,0.71671,0.50553,0.85715,0.0005744,0.0005744,0.0005744
38,323.245,0.63871,0.39651,0.87029,0.93415,0.94924,0.9784,0.796,0.73244,0.50683,0.85769,0.0005348,0.0005348,0.0005348
39,331.918,0.61843,0.39353,0.8736,0.93423,0.96954,0.96996,0.79664,0.70557,0.47223,0.85007,0.0004952,0.0004952,0.0004952
40,340.656,0.61248,0.38353,0.87399,0.93063,0.94924,0.97016,0.80971,0.71417,0.47894,0.83597,0.0004556,0.0004556,0.0004556
41,370.983,0.59406,0.37474,0.85972,0.93479,0.95939,0.95957,0.82324,0.70729,0.47315,0.85078,0.000416,0.000416,0.000416
42,378.54,0.58705,0.36875,0.85559,0.93945,0.96954,0.96785,0.80434,0.74604,0.48114,0.84108,0.0003764,0.0003764,0.0003764
43,386.09,0.57187,0.35958,0.84378,0.93445,0.96954,0.97286,0.8116,0.7093,0.46602,0.83648,0.0003368,0.0003368,0.0003368
44,394.558,0.55266,0.34789,0.84781,0.9343,0.96447,0.9779,0.82323,0.7186,0.46015,0.83723,0.0002972,0.0002972,0.0002972
45,404.67,0.55639,0.34657,0.84669,0.93491,0.95939,0.96693,0.82559,0.70399,0.47058,0.84011,0.0002576,0.0002576,0.0002576
46,412.843,0.55314,0.33477,0.83929,0.93122,0.96217,0.97227,0.81994,0.7171,0.47226,0.8394,0.000218,0.000218,0.000218
47,421.989,0.52514,0.33231,0.84438,0.93053,0.95431,0.97517,0.82893,0.69956,0.46039,0.83696,0.0001784,0.0001784,0.0001784
48,430.579,0.52879,0.32965,0.83143,0.91902,0.95939,0.97819,0.84257,0.66958,0.45197,0.82853,0.0001388,0.0001388,0.0001388
