epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2891,1.43446,2.5154,1.17776,0.00327,0.99492,0.66705,0.48981,1.06253,3.22907,0.91829,0.000653595,0.000653595,0.000653595
2,30.0747,1.13383,1.41857,1.0168,0.93629,0.89523,0.92615,0.6183,1.12648,1.82558,0.96594,0.00129412,0.00129412,0.00129412
3,44.0729,1.13548,1.20169,1.03144,0.8557,0.87298,0.88706,0.59356,1.0782,1.37548,1.0019,0.00190825,0.00190825,0.00190825
4,58.1454,1.10442,1.01924,1.0164,0.94369,0.8731,0.95178,0.6744,1.06832,1.04945,0.93886,0.0018812,0.0018812,0.0018812
5,72.342,1.06268,0.87983,1.01179,0.90623,0.93401,0.92487,0.64306,1.1297,0.85867,0.9595,0.0018416,0.0018416,0.0018416
6,87.105,1.01775,0.78421,0.98577,0.95182,0.93401,0.96554,0.65596,1.19893,0.99438,0.94572,0.001802,0.001802,0.001802
7,103.183,0.97051,0.71867,0.97076,0.933,0.92893,0.93952,0.70588,0.94589,0.84878,0.87638,0.0017624,0.0017624,0.0017624
8,118.104,0.94751,0.68973,0.97887,0.89453,0.90414,0.94756,0.65654,1.08463,0.78451,0.98031,0.0017228,0.0017228,0.0017228
9,132.683,0.93558,0.66661,0.9735,0.93102,0.95916,0.96476,0.74243,1.00676,0.64226,0.9301,0.0016832,0.0016832,0.0016832
10,148.049,0.92657,0.64822,0.96202,0.92455,0.94416,0.93271,0.72576,0.89707,0.65796,0.89775,0.0016436,0.0016436,0.0016436
11,163.468,0.88755,0.6082,0.9505,0.92312,0.94924,0.96526,0.74678,0.91124,0.65403,0.89177,0.001604,0.001604,0.001604
12,178.45,0.86256,0.58802,0.94418,0.92113,0.94855,0.93176,0.71066,0.9025,0.69395,0.89916,0.0015644,0.0015644,0.0015644
13,193.367,0.83457,0.57509,0.92774,0.93091,0.93909,0.9754,0.75728,0.89836,0.60665,0.86811,0.0015248,0.0015248,0.0015248
14,208.26,0.83551,0.55819,0.92793,0.92366,0.94416,0.95668,0.76075,0.87547,0.6357,0.8833,0.0014852,0.0014852,0.0014852
15,224.505,0.84948,0.56467,0.9313,0.92112,0.94843,0.95842,0.77709,0.80519,0.59079,0.85314,0.0014456,0.0014456,0.0014456
16,242.894,0.84047,0.53713,0.92897,0.90801,0.95195,0.95164,0.74915,0.80421,0.58535,0.86707,0.001406,0.001406,0.001406
17,259.294,0.8169,0.53236,0.92374,0.93137,0.96447,0.96635,0.77133,0.82063,0.56163,0.87521,0.0013664,0.0013664,0.0013664
18,274.029,0.78248,0.53122,0.91737,0.9391,0.96954,0.97035,0.76267,0.89805,0.56766,0.88574,0.0013268,0.0013268,0.0013268
19,288.576,0.78004,0.51029,0.917,0.9176,0.96093,0.9735,0.79596,0.78639,0.58143,0.8647,0.0012872,0.0012872,0.0012872
20,303.118,0.74638,0.48392,0.90559,0.92298,0.95431,0.96708,0.79598,0.77184,0.56379,0.85238,0.0012476,0.0012476,0.0012476
21,317.738,0.76156,0.49009,0.91267,0.93134,0.96405,0.97655,0.80484,0.75592,0.5289,0.85665,0.001208,0.001208,0.001208
22,332.406,0.75074,0.48212,0.90854,0.93789,0.93909,0.96913,0.77983,0.88687,0.5475,0.87627,0.0011684,0.0011684,0.0011684
23,347.502,0.76665,0.48225,0.90522,0.92539,0.94924,0.963,0.77974,0.82163,0.56723,0.88322,0.0011288,0.0011288,0.0011288
24,362.475,0.73181,0.47101,0.91058,0.93129,0.96327,0.96759,0.79628,0.78716,0.53995,0.86779,0.0010892,0.0010892,0.0010892
25,377.845,0.71931,0.45525,0.89777,0.92257,0.93909,0.96986,0.77289,0.88746,0.57847,0.88282,0.0010496,0.0010496,0.0010496
26,393.334,0.71705,0.46585,0.8973,0.91997,0.95431,0.97916,0.7858,0.8764,0.54682,0.86876,0.00101,0.00101,0.00101
27,409.086,0.70965,0.45627,0.89793,0.9256,0.96447,0.98389,0.81707,0.75346,0.50605,0.85182,0.0009704,0.0009704,0.0009704
28,423.924,0.70913,0.45151,0.89447,0.9159,0.96447,0.97522,0.81113,0.76052,0.53401,0.84195,0.0009308,0.0009308,0.0009308
29,438.758,0.70058,0.44107,0.89651,0.92579,0.94924,0.95823,0.78708,0.8285,0.55231,0.87491,0.0008912,0.0008912,0.0008912
30,453.936,0.68019,0.43922,0.87893,0.93059,0.95939,0.96697,0.80094,0.77283,0.53107,0.83466,0.0008516,0.0008516,0.0008516
31,468.758,0.67353,0.42351,0.88423,0.93006,0.95939,0.9704,0.79113,0.78518,0.55676,0.84834,0.000812,0.000812,0.000812
32,483.575,0.67419,0.43203,0.88569,0.91328,0.9623,0.96806,0.79935,0.79198,0.56048,0.84625,0.0007724,0.0007724,0.0007724
33,498.662,0.66725,0.41725,0.87877,0.92705,0.96761,0.97691,0.82624,0.75192,0.48676,0.82887,0.0007328,0.0007328,0.0007328
34,515.547,0.65892,0.43009,0.87971,0.92607,0.96447,0.97353,0.82483,0.71447,0.47202,0.82889,0.0006932,0.0006932,0.0006932
35,532.938,0.64757,0.41546,0.88323,0.92981,0.96447,0.97423,0.80956,0.76706,0.4891,0.84753,0.0006536,0.0006536,0.0006536
36,550.395,0.66137,0.41645,0.88622,0.92604,0.95338,0.9781,0.81805,0.78409,0.51235,0.8514,0.000614,0.000614,0.000614
37,566.098,0.63759,0.4087,0.8751,0.92179,0.95726,0.97676,0.82191,0.75821,0.51298,0.84412,0.0005744,0.0005744,0.0005744
38,581.038,0.62204,0.38956,0.8625,0.92134,0.96954,0.97256,0.8203,0.72729,0.48308,0.83461,0.0005348,0.0005348,0.0005348
39,596.035,0.6081,0.38888,0.86995,0.93013,0.96954,0.97925,0.82146,0.71118,0.48408,0.82868,0.0004952,0.0004952,0.0004952
40,611.037,0.61389,0.38365,0.87486,0.93117,0.96447,0.97244,0.82503,0.74524,0.49218,0.83966,0.0004556,0.0004556,0.0004556
41,638.208,0.60606,0.3757,0.85904,0.93003,0.95939,0.9705,0.81787,0.75061,0.52113,0.83717,0.000416,0.000416,0.000416
42,653.053,0.56324,0.36038,0.84659,0.92489,0.95939,0.96852,0.81867,0.7467,0.48039,0.83111,0.0003764,0.0003764,0.0003764
43,668.428,0.56274,0.35531,0.84266,0.92678,0.96376,0.97221,0.81402,0.72633,0.47524,0.81821,0.0003368,0.0003368,0.0003368
44,685.087,0.55527,0.35508,0.84322,0.92952,0.96447,0.9768,0.80757,0.74745,0.47981,0.82421,0.0002972,0.0002972,0.0002972
45,702.236,0.55064,0.33831,0.84403,0.92358,0.95939,0.97354,0.80794,0.75932,0.49624,0.83787,0.0002576,0.0002576,0.0002576
46,718.196,0.54581,0.32827,0.83802,0.92545,0.96447,0.9707,0.81046,0.741,0.4786,0.82236,0.000218,0.000218,0.000218
47,734.799,0.52323,0.32026,0.84224,0.925,0.96447,0.96955,0.81013,0.73397,0.47075,0.81638,0.0001784,0.0001784,0.0001784
48,751.765,0.51784,0.32048,0.83025,0.92434,0.95939,0.97265,0.82484,0.70693,0.47625,0.81391,0.0001388,0.0001388,0.0001388
49,769.019,0.50118,0.31008,0.8238,0.92967,0.95431,0.97215,0.82118,0.71153,0.46899,0.80997,9.92e-05,9.92e-05,9.92e-05
50,785.703,0.5043,0.30661,0.82831,0.92445,0.95431,0.97193,0.82223,0.71,0.46429,0.80984,5.96e-05,5.96e-05,5.96e-05
