epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16037,1.48939,2.67787,1.22297,0.01144,0.98655,0.89748,0.59084,1.11404,2.94059,0.91662,0.000653595,0.000653595,0.000653595
2,9.73232,1.12589,1.3836,1.03252,0.91912,0.92303,0.93887,0.63858,1.12693,1.66203,0.95652,0.00130719,0.00130719,0.00130719
3,14.1808,1.12666,1.21197,1.03099,0.90791,0.91371,0.92959,0.6305,1.02096,1.23861,0.91245,0.00194759,0.00194759,0.00194759
4,18.5981,1.14915,1.04927,1.04023,0.96557,0.85413,0.92379,0.59654,1.27236,1.44098,0.98622,0.0019406,0.0019406,0.0019406
5,23.5233,1.06755,0.9129,1.01105,0.9217,0.95604,0.9541,0.59876,1.3197,0.79184,1.00921,0.0019208,0.0019208,0.0019208
6,28.3083,1.01988,0.79341,0.99026,0.95128,0.94416,0.96989,0.7298,0.9181,0.64498,0.93234,0.001901,0.001901,0.001901
7,33.1725,0.98371,0.72812,0.99174,0.90614,0.93109,0.94501,0.63523,1.13147,0.6817,0.93809,0.0018812,0.0018812,0.0018812
8,37.9512,0.95187,0.68898,0.97797,0.91095,0.94924,0.95556,0.72183,0.94648,0.63213,0.87904,0.0018614,0.0018614,0.0018614
9,42.7939,0.94053,0.67619,0.96927,0.91773,0.96268,0.96494,0.72939,0.91051,0.65092,0.88999,0.0018416,0.0018416,0.0018416
10,47.4041,0.98761,0.68125,0.99438,0.9584,0.86802,0.95924,0.68165,1.03653,0.70632,0.95485,0.0018218,0.0018218,0.0018218
11,52.215,0.9233,0.64365,0.96446,0.94374,0.94416,0.96886,0.7056,1.04875,0.75676,0.93882,0.001802,0.001802,0.001802
