epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1064,1.47242,3.4152,1.21557,0.00317,0.96447,0.63152,0.44053,1.0623,3.08547,0.90759,0.000653595,0.000653595,0.000653595
2,36.9893,1.16742,1.88193,1.04745,0.94397,0.92893,0.96803,0.66878,1.10961,1.1757,0.90353,0.00118956,0.00118956,0.00118956
3,44.4,1.13346,1.50879,1.03358,0.98152,0.88325,0.95615,0.62995,1.1599,1.07107,0.9688,0.00159352,0.00159352,0.00159352
4,51.7765,1.05245,1.18599,1.00944,0.94465,0.90863,0.95155,0.67351,1.0297,0.88609,0.87546,0.001406,0.001406,0.001406
5,59.2083,1.02909,1.04395,0.98055,0.91439,0.92171,0.93827,0.67913,0.98665,0.82424,0.90194,0.001208,0.001208,0.001208
6,66.6504,0.91355,0.84453,0.94709,0.93,0.95431,0.94874,0.69234,0.97205,0.697,0.88258,0.00101,0.00101,0.00101
7,73.9424,0.89363,0.76854,0.93964,0.8556,0.93238,0.94231,0.71795,0.91572,0.71627,0.867,0.000812,0.000812,0.000812
8,81.3051,0.83873,0.69798,0.92378,0.9786,0.92869,0.96764,0.7477,0.86437,0.57101,0.8546,0.000614,0.000614,0.000614
9,88.6216,0.77612,0.63622,0.89566,0.97818,0.92386,0.96932,0.75205,0.91954,0.56273,0.85332,0.000416,0.000416,0.000416
10,95.9192,0.74291,0.59701,0.87715,0.92216,0.9622,0.96904,0.77539,0.82979,0.57618,0.82882,0.000218,0.000218,0.000218
