epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.84128,1.49767,2.67814,1.22499,0.00307,0.93401,0.44512,0.34954,1.0025,3.34285,0.96311,0.000653595,0.000653595,0.000653595
2,18.0063,1.12692,1.42219,1.03038,0.95721,0.90839,0.94941,0.68006,1.0164,1.27813,0.87401,0.00130719,0.00130719,0.00130719
3,25.2922,1.1281,1.18975,1.02914,0.95627,0.91878,0.93683,0.66058,1.00832,1.00471,0.89405,0.00194759,0.00194759,0.00194759
4,32.8049,1.11159,1.06304,1.02344,0.93237,0.92386,0.9616,0.62846,1.09624,1.02495,0.97041,0.0019406,0.0019406,0.0019406
5,39.8591,1.053,0.89258,1.00853,0.84778,0.8934,0.89194,0.51794,1.47283,1.61115,1.11385,0.0019208,0.0019208,0.0019208
6,47.0716,1.03408,0.80409,0.99779,0.9401,0.95603,0.9579,0.68104,0.95364,0.72214,0.91541,0.001901,0.001901,0.001901
7,54.8251,0.96981,0.72635,0.97599,0.87914,0.89848,0.92901,0.65013,1.03335,1.05031,0.95862,0.0018812,0.0018812,0.0018812
8,62.3529,0.98262,0.70428,0.99553,0.9176,0.84796,0.91386,0.58128,1.28637,0.92045,1.16349,0.0018614,0.0018614,0.0018614
9,69.6748,0.95077,0.67728,0.98352,0.93944,0.95939,0.97542,0.7417,0.94791,0.62159,0.89728,0.0018416,0.0018416,0.0018416
10,77.4448,0.94012,0.65538,0.97232,0.94251,0.8934,0.95117,0.53426,1.49478,0.89571,1.09417,0.0018218,0.0018218,0.0018218
11,85.3432,0.88846,0.61967,0.95367,0.92417,0.92802,0.95387,0.75759,0.84359,0.64691,0.87242,0.001802,0.001802,0.001802
12,93.2051,0.88413,0.60802,0.94779,0.92875,0.93909,0.96461,0.74065,0.89061,0.60245,0.90233,0.0017822,0.0017822,0.0017822
13,100.309,0.88974,0.59317,0.95105,0.98916,0.92625,0.98341,0.74435,0.87423,0.56149,0.87753,0.0017624,0.0017624,0.0017624
14,107.644,0.86367,0.57253,0.9443,0.90878,0.94924,0.95642,0.72547,0.87755,0.62395,0.88372,0.0017426,0.0017426,0.0017426
15,114.627,0.86857,0.57424,0.94386,0.9149,0.93401,0.91045,0.67929,0.92765,0.84217,0.88216,0.0017228,0.0017228,0.0017228
16,122.208,0.86519,0.5549,0.93544,0.92868,0.95939,0.97911,0.77558,0.91153,0.56924,0.9087,0.001703,0.001703,0.001703
