epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6032,1.4252,3.22944,1.18787,0.00322,0.9797,0.57262,0.40657,1.09314,3.22922,0.91971,0.000653595,0.000653595,0.000653595
2,40.8172,1.17061,1.82291,1.04958,0.88587,0.94566,0.94435,0.64328,1.19626,1.34107,0.97182,0.00118956,0.00118956,0.00118956
3,55.0222,1.14091,1.46024,1.04166,0.94786,0.83059,0.94334,0.60671,1.1436,1.36755,0.96251,0.00159352,0.00159352,0.00159352
4,69.5432,1.06461,1.23726,1.0261,0.91069,0.93909,0.91585,0.65085,1.05207,1.11627,0.92678,0.001406,0.001406,0.001406
5,84.3351,0.99682,0.98581,0.97658,0.95503,0.92386,0.95379,0.57131,1.22351,0.90554,0.99394,0.001208,0.001208,0.001208
6,99.1172,0.974,0.84207,0.97106,0.93954,0.94658,0.95996,0.69843,1.05637,0.88315,0.90288,0.00101,0.00101,0.00101
7,114.204,0.89487,0.76786,0.95051,0.96849,0.93625,0.96846,0.72561,0.91423,0.72064,0.88207,0.000812,0.000812,0.000812
8,129.221,0.86965,0.70462,0.93915,0.93934,0.94321,0.96887,0.73961,0.96284,0.69447,0.8723,0.000614,0.000614,0.000614
9,144.415,0.79257,0.64157,0.90402,0.99468,0.94884,0.97596,0.75527,0.8743,0.62193,0.85417,0.000416,0.000416,0.000416
10,159.738,0.74133,0.58886,0.87573,0.98257,0.93909,0.97202,0.78037,0.79521,0.56594,0.82744,0.000218,0.000218,0.000218
