epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.066,1.40963,2.45127,1.156,0.00315,0.95939,0.4662,0.2409,1.17486,3.41661,1.04231,0.000653595,0.000653595,0.000653595
2,840.178,1.16986,1.41736,1.05059,0.8845,0.89848,0.90709,0.58622,1.18803,1.78142,1.00365,0.00129412,0.00129412,0.00129412
3,1267.29,1.11044,1.16847,1.02511,0.95766,0.91854,0.94756,0.64546,1.02518,1.14481,0.98196,0.00190825,0.00190825,0.00190825
4,1689.54,1.08276,1.028,1.02308,0.96186,0.90355,0.95969,0.70131,0.99558,0.88303,0.93316,0.0018812,0.0018812,0.0018812
5,2114.52,1.06599,0.86303,1.01,0.93703,0.9064,0.95975,0.5772,1.24793,1.07308,1.0781,0.0018416,0.0018416,0.0018416
6,2538.63,0.99436,0.77138,0.98809,0.93705,0.94924,0.95105,0.67463,1.01137,0.86869,0.94019,0.001802,0.001802,0.001802
7,2961.64,0.97265,0.73163,0.97324,0.9842,0.94869,0.96359,0.66504,0.99928,0.69421,0.94948,0.0017624,0.0017624,0.0017624
8,3382.88,0.94893,0.69306,0.96525,0.9291,0.9313,0.96172,0.73466,0.91716,0.65516,0.91152,0.0017228,0.0017228,0.0017228
9,3801.72,0.95343,0.65523,0.97723,0.96045,0.93401,0.9627,0.71473,0.91909,0.76548,0.94118,0.0016832,0.0016832,0.0016832
10,4221.5,0.91321,0.61971,0.95955,0.9687,0.94254,0.97478,0.71817,0.93959,0.6231,0.90725,0.0016436,0.0016436,0.0016436
11,4640.98,0.88493,0.60167,0.95319,0.9631,0.92754,0.96913,0.74937,0.89792,0.61507,0.91825,0.001604,0.001604,0.001604
12,5062.31,0.88588,0.60191,0.9557,0.94833,0.91371,0.96606,0.75291,0.88083,0.61898,0.9156,0.0015644,0.0015644,0.0015644
13,5485.68,0.84729,0.56371,0.93041,0.9905,0.92386,0.9592,0.7613,0.80906,0.60869,0.886,0.0015248,0.0015248,0.0015248
14,5909.49,0.8444,0.5608,0.93572,0.91617,0.92386,0.93726,0.7226,0.87491,0.67863,0.89761,0.0014852,0.0014852,0.0014852
15,6332.34,0.84686,0.55143,0.93152,0.94777,0.92112,0.97173,0.75383,0.8655,0.58483,0.91105,0.0014456,0.0014456,0.0014456
16,6754.29,0.84282,0.54924,0.9369,0.92649,0.94924,0.96302,0.74996,0.90917,0.58231,0.89895,0.001406,0.001406,0.001406
17,7182.4,0.80941,0.53871,0.9275,0.88624,0.9491,0.94635,0.73776,0.8841,0.66139,0.91277,0.0013664,0.0013664,0.0013664
18,7610.38,0.81737,0.53912,0.93366,0.88564,0.94345,0.96085,0.74312,0.90177,0.59044,0.9185,0.0013268,0.0013268,0.0013268
19,8035.53,0.77723,0.50236,0.91555,0.90671,0.94924,0.9471,0.75756,0.8015,0.57115,0.88475,0.0012872,0.0012872,0.0012872
20,8467.47,0.79101,0.50493,0.91162,0.91704,0.95387,0.96377,0.75502,0.86285,0.54163,0.89391,0.0012476,0.0012476,0.0012476
21,8893.19,0.80479,0.51735,0.92406,0.92581,0.95012,0.9692,0.77469,0.78742,0.54585,0.88729,0.001208,0.001208,0.001208
22,9322.1,0.7607,0.47741,0.89788,0.93136,0.96447,0.96624,0.77286,0.80854,0.52767,0.87847,0.0011684,0.0011684,0.0011684
23,9750.63,0.74582,0.48294,0.90315,0.93435,0.94924,0.96673,0.76412,0.76056,0.5118,0.86021,0.0011288,0.0011288,0.0011288
