epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45529,1.48939,2.67787,1.22297,0.01144,0.98655,0.89748,0.59084,1.11404,2.94059,0.91662,0.000653595,0.000653595,0.000653595
2,10.1503,1.12115,1.3918,1.03585,0.95603,0.91878,0.94728,0.65615,1.14259,1.46462,0.95224,0.00126798,0.00126798,0.00126798
3,14.604,1.11483,1.21101,1.03061,0.95625,0.8934,0.93868,0.67758,1.00452,1.01289,0.92583,0.00182956,0.00182956,0.00182956
4,19.2239,1.10123,1.02806,1.01366,0.9013,0.95939,0.95868,0.68007,1.16413,1.02136,1.04615,0.0017624,0.0017624,0.0017624
5,23.8418,1.04492,0.89016,1.01372,0.90999,0.94924,0.94986,0.64097,1.17669,0.95723,1.10771,0.0016832,0.0016832,0.0016832
6,28.345,0.98885,0.78644,0.9838,0.98673,0.94416,0.96285,0.71361,0.99148,0.72777,0.92404,0.001604,0.001604,0.001604
7,32.9043,0.93282,0.71354,0.96699,0.92175,0.93909,0.96138,0.71974,0.92278,0.66051,0.90345,0.0015248,0.0015248,0.0015248
8,37.425,0.92821,0.67833,0.97478,0.8935,0.93688,0.94978,0.68934,0.98217,0.69607,0.95884,0.0014456,0.0014456,0.0014456
9,41.9191,0.90532,0.65372,0.96065,0.97842,0.9206,0.97479,0.74671,0.90367,0.6398,0.94021,0.0013664,0.0013664,0.0013664
10,46.2981,0.87405,0.62159,0.94757,0.9309,0.95735,0.96164,0.74728,0.87165,0.67295,0.88068,0.0012872,0.0012872,0.0012872
11,50.7123,0.84892,0.59841,0.94155,0.95855,0.93922,0.97148,0.78834,0.80109,0.54832,0.86677,0.001208,0.001208,0.001208
12,55.0499,0.82219,0.5729,0.93078,0.96732,0.93909,0.97465,0.75869,0.80237,0.59355,0.87161,0.0011288,0.0011288,0.0011288
13,59.6242,0.81794,0.5606,0.92631,0.95126,0.94924,0.97083,0.77471,0.78064,0.54717,0.87215,0.0010496,0.0010496,0.0010496
14,64.0653,0.80025,0.53882,0.91963,0.92675,0.96329,0.97003,0.7708,0.83682,0.55463,0.87106,0.0009704,0.0009704,0.0009704
15,68.6967,0.79711,0.53994,0.91887,0.91754,0.95939,0.95493,0.77044,0.7727,0.5612,0.85346,0.0008912,0.0008912,0.0008912
16,84.5902,0.71617,0.48769,0.88562,0.92976,0.94071,0.94492,0.74996,0.87697,0.61626,0.86214,0.000812,0.000812,0.000812
17,88.9137,0.74224,0.48483,0.8917,0.97305,0.92893,0.97296,0.75676,0.85317,0.55261,0.85495,0.0007328,0.0007328,0.0007328
18,93.2111,0.74254,0.4868,0.90857,0.91237,0.9513,0.96607,0.78357,0.80577,0.56194,0.86396,0.0006536,0.0006536,0.0006536
19,97.4986,0.68799,0.45629,0.88606,0.92333,0.96447,0.9661,0.79443,0.76946,0.54012,0.86049,0.0005744,0.0005744,0.0005744
20,101.882,0.67325,0.43672,0.88451,0.93495,0.96954,0.97364,0.80391,0.74447,0.51267,0.8666,0.0004952,0.0004952,0.0004952
21,106.298,0.67368,0.42909,0.88559,0.93038,0.95939,0.98043,0.81284,0.74741,0.49973,0.86129,0.000416,0.000416,0.000416
22,110.79,0.64004,0.41563,0.86737,0.93464,0.94371,0.97454,0.81421,0.72004,0.50237,0.85105,0.0003368,0.0003368,0.0003368
23,115.176,0.62879,0.41427,0.86284,0.89709,0.92386,0.9618,0.79681,0.76125,0.55885,0.8558,0.0002576,0.0002576,0.0002576
24,119.653,0.61705,0.39939,0.85716,0.92654,0.96447,0.96907,0.81208,0.7221,0.51034,0.8515,0.0001784,0.0001784,0.0001784
25,124.099,0.59496,0.38963,0.85423,0.93414,0.95939,0.97341,0.82928,0.70529,0.48543,0.84065,9.92e-05,9.92e-05,9.92e-05
